OrderID,OrderDate,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit,CustomerID,Segment,year_month
SO100000,2023-02-07,North,Furniture,Bookcases,66.97,1,0.0,-0.22,C8410,Small Business,2023-02
SO100001,2023-08-24,North,Office Supplies,Paper,109.66,2,0.3,-1.01,C7930,Home Office,2023-08
SO100006,2025-04-27,South,Furniture,Bookcases,52.29,5,0.2,-6.18,C8835,Consumer,2025-04
SO100010,2025-01-19,South,Furniture,Chairs,66.57,5,0.1,-8.07,C7764,Consumer,2025-01
SO100017,2023-12-24,East,Office Supplies,Pens,679.03,2,0.0,-12.14,C8224,Home Office,2023-12
SO100022,2024-02-03,South,Furniture,Chairs,50.26,3,0.1,-7.83,C6359,Consumer,2024-02
SO100023,2024-07-16,North,Office Supplies,Pens,174.01,5,0.3,-2.9,C9390,Home Office,2024-07
SO100026,2025-01-23,West,Furniture,Chairs,614.34,1,0.1,-32.3,C6006,Consumer,2025-01
SO100027,2024-05-18,East,Technology,Accessories,85.49,2,0.0,-15.67,C2608,Corporate,2024-05
SO100030,2023-03-28,North,Office Supplies,Binders,134.71,3,0.0,-26.01,C8469,Consumer,2023-03
SO100031,2023-05-22,East,Furniture,Tables,233.45,1,0.2,-34.78,C5103,Home Office,2023-05
SO100032,2024-01-29,West,Furniture,Chairs,84.01,3,0.0,-2.56,C2577,Small Business,2024-01
SO100033,2023-01-08,North,Office Supplies,Storage,267.33,2,0.2,-17.49,C7441,Home Office,2023-01
SO100047,2024-09-25,South,Office Supplies,Pens,389.16,4,0.0,-55.91,C9378,Corporate,2024-09
SO100051,2024-01-23,North,Furniture,Tables,31.78,4,0.1,-3.51,C2441,Consumer,2024-01
SO100052,2024-03-30,North,Office Supplies,Storage,142.06,1,0.1,-3.2,C3179,Consumer,2024-03
SO100056,2025-03-03,South,Furniture,Bookcases,210.45,2,0.0,-28.79,C8094,Consumer,2025-03
SO100060,2023-01-27,South,Office Supplies,Storage,32.57,1,0.0,-4.57,C3888,Home Office,2023-01
SO100061,2025-03-31,South,Furniture,Tables,84.02,3,0.0,-1.64,C3212,Consumer,2025-03
SO100065,2023-10-25,North,Office Supplies,Binders,194.85,2,0.0,-37.76,C6176,Consumer,2023-10
SO100066,2024-04-11,West,Technology,Machines,244.45,1,0.0,-34.89,C3296,Consumer,2024-04
SO100068,2023-03-06,West,Office Supplies,Pens,606.03,3,0.0,-110.21,C3064,Consumer,2023-03
SO100071,2024-01-03,North,Office Supplies,Storage,185.2,2,0.0,-16.85,C1855,Small Business,2024-01
SO100077,2023-01-23,East,Technology,Copiers,625.0,3,0.2,-68.4,C3982,Home Office,2023-01
SO100081,2023-10-07,East,Furniture,Chairs,976.67,1,0.0,-103.44,C1847,Small Business,2023-10
SO100082,2024-01-17,North,Technology,Machines,39.11,3,0.05,-3.74,C6317,Home Office,2024-01
SO100085,2023-11-10,West,Office Supplies,Binders,242.09,2,0.05,-47.8,C1867,Consumer,2023-11
SO100089,2023-10-16,East,Office Supplies,Binders,986.41,3,0.0,-47.11,C4900,Corporate,2023-10
SO100090,2024-02-23,North,Technology,Accessories,113.02,5,0.0,-13.03,C4265,Consumer,2024-02
SO100092,2023-10-07,South,Office Supplies,Binders,220.64,3,0.0,-1.98,C5028,Consumer,2023-10
SO100098,2023-12-15,West,Furniture,Tables,321.59,3,0.0,-20.56,C5865,Home Office,2023-12
SO100109,2025-06-15,East,Furniture,Bookcases,74.69,4,0.05,-4.19,C5632,Consumer,2025-06
SO100111,2024-04-06,South,Furniture,Tables,424.34,4,0.0,-6.43,C3767,Home Office,2024-04
SO100126,2024-06-16,West,Technology,Copiers,73.9,3,0.0,-7.28,C7396,Home Office,2024-06
SO100130,2025-02-14,West,Office Supplies,Storage,78.61,5,0.0,-6.59,C8928,Consumer,2025-02
SO100133,2025-01-22,East,Furniture,Bookcases,188.76,2,0.0,-28.09,C8338,Consumer,2025-01
SO100135,2023-07-30,North,Office Supplies,Storage,355.94,1,0.1,-54.6,C5453,Corporate,2023-07
SO100138,2023-01-11,West,Office Supplies,Paper,230.11,2,0.0,-15.79,C2496,Consumer,2023-01
SO100139,2023-10-07,North,Furniture,Chairs,88.56,2,0.05,-15.17,C9861,Consumer,2023-10
SO100141,2025-04-29,South,Office Supplies,Storage,431.29,3,0.0,-67.91,C4572,Consumer,2025-04
SO100144,2024-12-15,North,Furniture,Bookcases,381.7,4,0.2,-9.85,C5965,Corporate,2024-12
SO100145,2024-04-21,North,Technology,Copiers,227.99,4,0.1,-9.75,C8902,Consumer,2024-04
SO100146,2024-10-22,West,Office Supplies,Pens,148.96,2,0.2,-19.7,C8495,Consumer,2024-10
SO100147,2024-02-21,East,Technology,Copiers,371.22,4,0.0,-14.08,C5205,Consumer,2024-02
SO100150,2024-08-29,West,Office Supplies,Paper,166.22,5,0.2,-23.38,C7528,Consumer,2024-08
SO100151,2024-07-26,East,Furniture,Bookcases,289.73,2,0.0,-57.13,C6983,Home Office,2024-07
SO100158,2024-05-07,South,Office Supplies,Pens,188.69,2,0.0,-16.65,C4416,Consumer,2024-05
SO100159,2025-01-02,West,Furniture,Tables,62.47,1,0.05,-8.19,C6920,Corporate,2025-01
SO100164,2025-05-14,North,Technology,Accessories,74.24,2,0.0,-3.89,C4762,Consumer,2025-05
SO100166,2025-04-30,West,Furniture,Tables,90.66,2,0.0,-4.07,C2673,Corporate,2025-04
SO100167,2024-04-15,South,Office Supplies,Storage,262.88,5,0.0,-13.92,C1899,Consumer,2024-04
SO100171,2023-06-26,East,Office Supplies,Paper,114.72,4,0.0,-4.43,C1424,Consumer,2023-06
SO100173,2023-01-16,West,Office Supplies,Pens,73.6,3,0.0,-2.21,C9398,Corporate,2023-01
SO100175,2023-06-20,North,Technology,Copiers,135.23,3,0.0,-21.39,C5396,Corporate,2023-06
SO100178,2023-10-06,West,Technology,Machines,95.41,4,0.05,-3.47,C7159,Consumer,2023-10
SO100184,2023-01-11,West,Technology,Copiers,400.13,3,0.0,-63.67,C5578,Corporate,2023-01
SO100186,2023-07-03,East,Office Supplies,Storage,231.73,5,0.1,-21.23,C6078,Small Business,2023-07
SO100189,2024-12-30,South,Office Supplies,Binders,341.26,1,0.05,-7.55,C6217,Consumer,2024-12
SO100192,2023-04-07,North,Office Supplies,Storage,53.01,4,0.0,-6.62,C4149,Consumer,2023-04
SO100197,2023-08-01,South,Furniture,Chairs,46.12,5,0.3,-1.07,C8258,Consumer,2023-08
SO100198,2024-09-20,East,Technology,Accessories,69.07,5,0.05,-4.91,C2211,Consumer,2024-09
SO100200,2024-10-08,West,Technology,Copiers,302.98,5,0.1,-18.09,C7602,Consumer,2024-10
SO100201,2024-12-18,South,Technology,Phones,410.39,1,0.05,-10.46,C4603,Consumer,2024-12
