OrderID,OrderDate,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit,CustomerID,Segment
SO100000,2023-02-07,North,Furniture,Bookcases,66.97,1,0.0,-0.22,C8410,Small Business
SO100001,2023-08-24,North,Office Supplies,Paper,109.66,2,0.3,-1.01,C7930,Home Office
SO100002,2023-03-14,North,Furniture,Tables,495.92,3,0.1,75.46,C8343,Corporate
SO100003,2025-02-06,North,Office Supplies,Pens,277.68,3,0.0,6.01,C4138,Consumer
SO100004,2024-12-16,East,Office Supplies,Pens,47.78,3,0.0,3.08,C8769,Consumer
SO100005,2024-10-07,South,Technology,Copiers,119.79,2,0.0,23.82,C5365,Corporate
SO100006,2025-04-27,South,Furniture,Bookcases,52.29,5,0.2,-6.18,C8835,Consumer
SO100007,2023-05-25,West,Office Supplies,Pens,51.52,4,0.0,19.53,C1057,Corporate
SO100008,2023-05-10,West,Technology,Phones,176.76,1,0.05,74.46,C3331,Consumer
SO100009,2024-08-06,East,Office Supplies,Paper,325.93,5,0.1,31.22,C1225,Corporate
SO100010,2025-01-19,South,Furniture,Chairs,66.57,5,0.1,-8.07,C7764,Consumer
SO100011,2024-05-23,West,Technology,Machines,62.13,5,0.1,13.94,C8759,Consumer
SO100012,2024-01-26,North,Office Supplies,Pens,544.85,1,0.0,138.04,C8401,Home Office
SO100013,2023-10-09,East,Office Supplies,Paper,454.87,2,0.0,175.18,C8058,Corporate
SO100014,2023-06-28,South,Office Supplies,Storage,607.97,1,0.0,213.5,C7359,Consumer
SO100015,2023-10-04,South,Office Supplies,Storage,227.67,2,0.0,84.12,C3007,Corporate
SO100016,2023-09-12,North,Office Supplies,Paper,40.9,1,0.0,3.71,C3345,Consumer
SO100017,2023-12-24,East,Office Supplies,Pens,679.03,2,0.0,-12.14,C8224,Home Office
SO100018,2024-04-13,West,Furniture,Tables,109.44,3,0.05,37.69,C9216,Consumer
SO100019,2023-09-10,East,Technology,Machines,174.13,5,0.0,1.03,C6186,Consumer
SO100020,2024-05-05,East,Technology,Machines,345.62,1,0.0,41.38,C8480,Corporate
SO100021,2024-10-30,East,Office Supplies,Binders,191.34,4,0.0,32.76,C1406,Corporate
SO100022,2024-02-03,South,Furniture,Chairs,50.26,3,0.1,-7.83,C6359,Consumer
SO100023,2024-07-16,North,Office Supplies,Pens,174.01,5,0.3,-2.9,C9390,Home Office
SO100024,2024-08-03,North,Technology,Machines,75.92,1,0.0,12.04,C6534,Consumer
SO100025,2023-08-04,North,Office Supplies,Paper,99.71,5,0.05,29.79,C2491,Consumer
SO100026,2025-01-23,West,Furniture,Chairs,614.34,1,0.1,-32.3,C6006,Consumer
SO100027,2024-05-18,East,Technology,Accessories,85.49,2,0.0,-15.67,C2608,Corporate
SO100028,2024-04-23,North,Office Supplies,Paper,357.3,2,0.0,157.56,C6473,Consumer
SO100029,2025-05-14,South,Office Supplies,Pens,186.85,2,0.0,22.2,C7334,Consumer
SO100030,2023-03-28,North,Office Supplies,Binders,134.71,3,0.0,-26.01,C8469,Consumer
SO100031,2023-05-22,East,Furniture,Tables,233.45,1,0.2,-34.78,C5103,Home Office
SO100032,2024-01-29,West,Furniture,Chairs,84.01,3,0.0,-2.56,C2577,Small Business
SO100033,2023-01-08,North,Office Supplies,Storage,267.33,2,0.2,-17.49,C7441,Home Office
SO100034,2023-11-16,North,Technology,Machines,323.9,3,0.0,104.62,C7934,Home Office
SO100035,2025-04-09,South,Office Supplies,Storage,114.77,3,0.3,26.42,C7795,Consumer
SO100036,2024-06-18,South,Furniture,Bookcases,169.26,5,0.2,63.81,C8427,Consumer
SO100037,2023-11-10,West,Office Supplies,Paper,247.2,3,0.1,36.92,C3745,Home Office
SO100038,2024-05-28,West,Technology,Copiers,484.14,4,0.0,71.2,C9844,Consumer
SO100039,2025-06-15,West,Office Supplies,Paper,87.34,5,0.2,8.81,C9238,Consumer
SO100040,2023-11-13,North,Furniture,Chairs,547.73,5,0.0,154.64,C5079,Consumer
SO100041,2023-07-29,South,Office Supplies,Binders,272.72,1,0.0,70.62,C5671,Consumer
SO100042,2023-09-22,West,Furniture,Tables,36.41,1,0.1,10.23,C3021,Consumer
SO100043,2024-12-29,West,Office Supplies,Paper,405.85,3,0.0,135.05,C4024,Consumer
SO100044,2024-10-15,West,Office Supplies,Binders,139.53,1,0.0,40.04,C8913,Consumer
SO100045,2024-09-19,East,Technology,Phones,44.37,5,0.0,8.65,C4105,Home Office
SO100046,2024-03-07,East,Office Supplies,Pens,128.41,4,0.0,36.03,C7840,Consumer
SO100047,2024-09-25,South,Office Supplies,Pens,389.16,4,0.0,-55.91,C9378,Corporate
SO100048,2024-04-01,North,Office Supplies,Binders,254.3,1,0.1,51.18,C3301,Consumer
SO100049,2024-06-26,North,Office Supplies,Paper,96.61,1,0.0,17.84,C4270,Corporate
SO100050,2023-03-13,West,Office Supplies,Binders,408.6,2,0.0,27.09,C4125,Consumer
SO100051,2024-01-23,North,Furniture,Tables,31.78,4,0.1,-3.51,C2441,Consumer
SO100052,2024-03-30,North,Office Supplies,Storage,142.06,1,0.1,-3.2,C3179,Consumer
SO100053,2024-07-15,East,Furniture,Bookcases,204.49,5,0.0,91.66,C2287,Consumer
SO100054,2023-11-10,West,Office Supplies,Pens,309.06,4,0.0,63.56,C2148,Home Office
SO100055,2024-05-30,North,Office Supplies,Binders,102.31,2,0.1,10.63,C8044,Consumer
SO100056,2025-03-03,South,Furniture,Bookcases,210.45,2,0.0,-28.79,C8094,Consumer
SO100057,2024-05-12,North,Office Supplies,Pens,32.47,2,0.0,13.85,C3919,Consumer
SO100058,2023-02-13,South,Office Supplies,Storage,385.04,3,0.0,28.94,C2236,Consumer
SO100059,2024-08-11,West,Office Supplies,Paper,390.47,5,0.0,66.54,C7454,Consumer
SO100060,2023-01-27,South,Office Supplies,Storage,32.57,1,0.0,-4.57,C3888,Home Office
SO100061,2025-03-31,South,Furniture,Tables,84.02,3,0.0,-1.64,C3212,Consumer
SO100062,2023-12-03,West,Office Supplies,Pens,140.98,5,0.1,17.7,C5511,Corporate
SO100063,2024-09-13,West,Office Supplies,Storage,265.33,4,0.2,73.61,C1440,Home Office
SO100064,2025-06-02,South,Furniture,Chairs,182.23,4,0.0,34.05,C6269,Consumer
SO100065,2023-10-25,North,Office Supplies,Binders,194.85,2,0.0,-37.76,C6176,Consumer
SO100066,2024-04-11,West,Technology,Machines,244.45,1,0.0,-34.89,C3296,Consumer
SO100067,2023-01-16,North,Technology,Accessories,212.5,3,0.0,12.75,C4633,Consumer
SO100068,2023-03-06,West,Office Supplies,Pens,606.03,3,0.0,-110.21,C3064,Consumer
SO100069,2023-07-16,North,Office Supplies,Storage,426.28,2,0.05,186.75,C7541,Consumer
SO100070,2023-01-26,East,Furniture,Chairs,109.17,5,0.2,14.44,C5918,Corporate
SO100071,2024-01-03,North,Office Supplies,Storage,185.2,2,0.0,-16.85,C1855,Small Business
SO100072,2025-01-08,North,Furniture,Bookcases,412.03,3,0.0,77.24,C4370,Home Office
SO100073,2024-04-16,North,Technology,Copiers,403.06,1,0.0,13.25,C1212,Consumer
SO100074,2023-10-10,East,Technology,Accessories,183.63,4,0.0,45.5,C6966,Consumer
SO100075,2024-10-27,North,Office Supplies,Binders,294.41,2,0.1,35.37,C4844,Consumer
SO100076,2024-09-08,West,Furniture,Chairs,170.55,4,0.0,12.19,C7283,Consumer
SO100077,2023-01-23,East,Technology,Copiers,625.0,3,0.2,-68.4,C3982,Home Office
SO100078,2025-02-16,East,Furniture,Bookcases,595.61,2,0.0,260.64,C5075,Home Office
SO100079,2024-12-08,East,Furniture,Tables,169.29,5,0.0,34.2,C4036,Consumer
SO100080,2023-05-07,North,Office Supplies,Pens,571.15,1,0.2,157.35,C9878,Consumer
SO100081,2023-10-07,East,Furniture,Chairs,976.67,1,0.0,-103.44,C1847,Small Business
SO100082,2024-01-17,North,Technology,Machines,39.11,3,0.05,-3.74,C6317,Home Office
SO100083,2023-12-23,East,Furniture,Tables,80.27,3,0.0,12.96,C2050,Small Business
SO100084,2023-06-05,South,Office Supplies,Storage,62.19,2,0.3,2.93,C6774,Consumer
SO100085,2023-11-10,West,Office Supplies,Binders,242.09,2,0.05,-47.8,C1867,Consumer
SO100086,2024-08-18,South,Furniture,Chairs,107.53,5,0.05,39.45,C1907,Corporate
SO100087,2023-06-16,North,Office Supplies,Paper,430.06,5,0.0,27.78,C3241,Consumer
SO100088,2024-10-10,South,Technology,Copiers,244.72,4,0.0,46.75,C7236,Consumer
SO100089,2023-10-16,East,Office Supplies,Binders,986.41,3,0.0,-47.11,C4900,Corporate
SO100090,2024-02-23,North,Technology,Accessories,113.02,5,0.0,-13.03,C4265,Consumer
SO100091,2025-02-17,North,Office Supplies,Binders,418.22,5,0.05,124.35,C8021,Corporate
SO100092,2023-10-07,South,Office Supplies,Binders,220.64,3,0.0,-1.98,C5028,Consumer
SO100093,2024-10-17,South,Office Supplies,Paper,79.18,1,0.2,12.72,C1305,Consumer
SO100094,2025-01-21,North,Office Supplies,Pens,192.95,5,0.1,61.76,C9784,Consumer
SO100095,2023-03-29,East,Office Supplies,Pens,97.42,1,0.0,31.86,C7967,Home Office
SO100096,2025-03-04,East,Furniture,Chairs,109.86,2,0.0,49.03,C4198,Corporate
SO100097,2023-09-01,North,Technology,Machines,116.88,2,0.0,9.97,C4407,Consumer
SO100098,2023-12-15,West,Furniture,Tables,321.59,3,0.0,-20.56,C5865,Home Office
SO100099,2024-08-09,North,Office Supplies,Pens,653.32,2,0.0,16.67,C8466,Corporate
SO100100,2023-07-10,North,Technology,Copiers,184.88,5,0.05,82.08,C9671,Consumer
SO100101,2023-10-30,North,Technology,Phones,664.86,3,0.0,146.05,C2220,Consumer
SO100102,2024-12-29,South,Office Supplies,Binders,281.55,2,0.05,87.62,C9753,Small Business
SO100103,2023-06-01,South,Technology,Machines,83.62,4,0.0,28.68,C8012,Consumer
SO100104,2024-11-26,West,Office Supplies,Paper,183.06,4,0.05,35.76,C6929,Home Office
SO100105,2023-11-18,East,Office Supplies,Storage,168.57,1,0.3,37.68,C7688,Consumer
SO100106,2024-01-05,West,Technology,Copiers,168.29,2,0.0,27.25,C9650,Consumer
SO100107,2025-04-25,West,Furniture,Tables,38.08,2,0.1,2.49,C8757,Consumer
SO100108,2025-02-10,North,Office Supplies,Binders,336.95,5,0.05,82.38,C8756,Consumer
SO100109,2025-06-15,East,Furniture,Bookcases,74.69,4,0.05,-4.19,C5632,Consumer
SO100110,2023-09-11,West,Office Supplies,Binders,65.82,5,0.0,24.06,C3548,Home Office
SO100111,2024-04-06,South,Furniture,Tables,424.34,4,0.0,-6.43,C3767,Home Office
SO100112,2025-02-13,South,Office Supplies,Pens,278.94,3,0.0,91.32,C9901,Home Office
SO100113,2024-07-18,West,Office Supplies,Binders,372.31,4,0.05,19.24,C2839,Consumer
SO100114,2024-04-14,West,Office Supplies,Binders,263.2,2,0.0,103.14,C1792,Corporate
